loser_id,loser_name,nemesis_id,nemesis_name,n_match_lost
8360,Eun Ji Lee,2437,Kathleen Kanev,1
8360,Eun Ji Lee,1910,Tess Sugnaux,1
8361,Hee Rae Im,3083,Aunchisa Chanta,1
8361,Hee Rae Im,2815,Hoyeon Nor,1
8362,Nayeon Kim,2806,Dayeon Back,1
8363,Dohee Yim,7247,Sun Bin Kim,1
8364,Ji Hyeon Seo,7539,Miranda Poile,1
8365,Chae Hyun Sim,2804,Su Yeon Chun,1
8365,Chae Hyun Sim,7864,Demi Tran,1
8366,Yeon Soo Park,2792,Se Jin Lee,1
8367,Hyeri Kim,2792,Se Jin Lee,1
8368,Jooyeon Jeong,8367,Hyeri Kim,1
8368,Jooyeon Jeong,2179,Fanny Ostlund,1
8368,Jooyeon Jeong,1921,Daniela Vismane,1
8368,Jooyeon Jeong,2797,Jin Ju Lee,1
8369,Suhyun Lim,2705,Na Ri Kim,1
8370,Tatiana Silbereisen,6486,Evita Ramirez,1
8371,Kira Golenko,6794,Sinja Kraus,1
8372,Karina Gustowska,7026,Isabelle Haverlag,1
8373,Victoria Pahlett,3057,Marina Yudanov,1
8374,Marie Weckerle,7860,Taylor Cataldi,1
8374,Marie Weckerle,7404,Juliette Loliee,1
8374,Marie Weckerle,2616,Chiara Catini,1
8375,Sarah Mueller,1932,Martina Colmegna,1
8375,Sarah Mueller,6846,Eline Audenaert,1
8375,Sarah Mueller,1931,Arlinda Rushiti,1
8376,Gina Veyder,1480,Constance Sibille,1
