loser_id,loser_name,nemesis_id,nemesis_name,n_match_lost
8237,Lili Minich,2285,Ana Lantigua De La Nuez,1
8238,Rachele Elisa Zingale,3223,Eliz Maloney,1
8238,Rachele Elisa Zingale,1433,Lisa Ponomar,1
8238,Rachele Elisa Zingale,2287,Marta Garcia Reboredo Montesdeoca,1
8238,Rachele Elisa Zingale,2895,Fiona Ganz,1
8239,Matilde Mariani,3980,Irene Lavino,1
8239,Matilde Mariani,3116,Giulia Crescenzi,1
8239,Matilde Mariani,7002,Anastasia Piangerelli,1
8239,Matilde Mariani,2493,Bojana Klincov,1
8239,Matilde Mariani,1361,Anna Pribylova,1
8239,Matilde Mariani,2202,Tanysha Dissanayake,1
8239,Matilde Mariani,2420,Anna Popescu,1
8239,Matilde Mariani,2383,Olga Helmi,1
8240,Anja Wildgruber,2499,Svenja Ochsner,2
8240,Anja Wildgruber,2487,Sapfo Sakellaridi,2
8241,Alessia Piccoliori,2655,Anna Turati,2
8242,Lara Pfeifer,6884,Fernanda Labrana,1
8242,Lara Pfeifer,1376,Iva Primorac,1
8242,Lara Pfeifer,3120,Ferdaous Bahri,1
8242,Lara Pfeifer,2639,Nicole Fossa Huergo,1
8242,Lara Pfeifer,7839,Irina Shchetinina,1
8242,Lara Pfeifer,1224,Anna Morgina,1
8242,Lara Pfeifer,4170,Katarina Kozarov,1
8242,Lara Pfeifer,2774,Stephanie Judith Visscher,1
8242,Lara Pfeifer,7452,Hibah Shaikh,1
8242,Lara Pfeifer,2659,Angelica Raggi,1
8242,Lara Pfeifer,6499,Martyna Kubka,1
8242,Lara Pfeifer,3058,Caijsa Wilda Hennemann,1
8242,Lara Pfeifer,7536,Natalie Augustinova,1
8242,Lara Pfeifer,1922,Ivana Sebestova,1
8242,Lara Pfeifer,2178,Andreea Amalia Rosca,1
8242,Lara Pfeifer,2397,Karola Patricia Bejenaru,1
8243,Maria Nuova Covato,7167,Giulia Paterno,1
8243,Maria Nuova Covato,7186,Carola Cavelli,1
8244,Fabrizia Cambria,7072,Valentina Losciale,1
8245,Desideria Damico,2173,Alija Merdeeva,1
8245,Desideria Damico,7845,Anoushka Wooller,1
8245,Desideria Damico,2110,Ekaterina Ovcharenko,1
8246,Silvia Mattiolo,7539,Miranda Poile,1
8246,Silvia Mattiolo,7308,Aminata Sall,1
8246,Silvia Mattiolo,3192,Deniz Paykoc,1
8246,Silvia Mattiolo,7167,Giulia Paterno,1
8246,Silvia Mattiolo,3394,Maria Aurelia Scotti,1
8246,Silvia Mattiolo,7794,Darya Lavrichenko,1
8247,Tania Pereira,562,Zoe Kruger,1
8247,Tania Pereira,2895,Fiona Ganz,1
8247,Tania Pereira,8246,Silvia Mattiolo,1
8248,Emma Davis,8449,Madison Appel,2
8248,Emma Davis,6993,Anastasia Zolotareva,2
8248,Emma Davis,7460,Leolia Jeanjean,2
8249,Chiara Gerbino,2639,Nicole Fossa Huergo,1
8250,Nikol Mishieva,1564,Ekaterina Kazionova,1
8250,Nikol Mishieva,9166,Vanessa Ersoz,1
8250,Nikol Mishieva,9535,Noa Major,1
8250,Nikol Mishieva,2639,Nicole Fossa Huergo,1
8250,Nikol Mishieva,2767,Arina Solomatina,1
8250,Nikol Mishieva,3009,Teresia Londol,1
8250,Nikol Mishieva,4587,Julie Belgraver,1
8250,Nikol Mishieva,7472,Nikita Liebkind,1
8250,Nikol Mishieva,3216,Melis Ayda Uyar,1
8250,Nikol Mishieva,9245,Sara Donnini,1
8251,Marta Giglio,7072,Valentina Losciale,1
8252,Noemi La Cagnina,3152,Ilaria Sposetti,1
8253,Arina Atyushova,2244,Olga Parres Azcoitia,1
8253,Arina Atyushova,2874,Malene Helgo,1
8253,Arina Atyushova,8812,Anna Parkhomenko,1
8253,Arina Atyushova,4277,Alana Tuayeva,1
8253,Arina Atyushova,9757,Alara Ayaz,1
8254,Giulia Martinelli,7171,Sara Gambogi,1
8254,Giulia Martinelli,2405,Martina Caregaro,1
8254,Giulia Martinelli,2494,Federica Bilardo,1
8255,Mariia Kostiuk,1594,Rebeca Pereira,1
8255,Mariia Kostiuk,4490,Aubane Droguet,1
8255,Mariia Kostiuk,1717,Chanelle Van Nguyen,1
8255,Mariia Kostiuk,3372,Rhiann Newborn,1
8255,Mariia Kostiuk,2244,Olga Parres Azcoitia,1
8255,Mariia Kostiuk,7913,Amanda Montes Khaghani,1
8255,Mariia Kostiuk,1738,Ayaka Okuno,1
8255,Mariia Kostiuk,9324,Maria Garcia Cid,1
8255,Mariia Kostiuk,1348,Tina Nadine Smith,1
8255,Mariia Kostiuk,3342,Sophia Whittle,1
8255,Mariia Kostiuk,1089,Camilla Rosatello,1
8255,Mariia Kostiuk,7912,Blanca Cortijo Parreno,1
8255,Mariia Kostiuk,2090,Verena Hofer,1
8255,Mariia Kostiuk,3247,Katsiaryna Skachkova,1
8255,Mariia Kostiuk,1722,Pauline Wuarin,1
8255,Mariia Kostiuk,6784,Matilde Paoletti,1
8255,Mariia Kostiuk,2060,Andreea Ghitescu,1
8255,Mariia Kostiuk,3229,Laure Line Glaude,1
8255,Mariia Kostiuk,3163,Tuana Tinaztepe,1
8255,Mariia Kostiuk,2688,Aiko Yoshitomi,1
8255,Mariia Kostiuk,7472,Nikita Liebkind,1
8255,Mariia Kostiuk,8254,Giulia Martinelli,1
8255,Mariia Kostiuk,7033,Maria Berlanga Bandera,1
8255,Mariia Kostiuk,2395,Ali Collins,1
8255,Mariia Kostiuk,9432,Rebecca Amerio,1
8256,Minori Yonehara,2719,Moyuka Uchijima,1
8257,Kurumi Ueno,748,Xiaodi You,1
8258,Minori Imada,2736,Mayuka Aikawa,1
8258,Minori Imada,1766,Shiho Akita,1
8259,Ayano Matsubara,1306,Akiko Omae,1
8260,Azusa Yasaki,2027,Jodie Anna Burrage,1
8260,Azusa Yasaki,2718,Chisa Hosonuma,1
8261,Sumire Ri,1189,Kai Chen Chang,1
8262,Miyu Nakashima,2729,Sakura Hondo,1
8262,Miyu Nakashima,1212,Nudnida Luangnam,1
8262,Miyu Nakashima,2737,Mei Yamaguchi,1
8262,Miyu Nakashima,7534,Honoka Kobayashi,1
8263,Arisa Abe,440,Arina Rodionova,1
8263,Arisa Abe,2706,Ari Matsumoto,1
